text,gt,cleaned_text,distance,sentiment,score,query
The Engines in Asia-Pacific industry profile is an essential resource for top-level data and analysis covering the engines industry .,neutral,engine asia pacific industry profile essential resource top level data analysis cover engine industry,73.3165512084961,neutral,0.999894380569458,Silicon Valley's impact on global technology development
"As with other stakeholders , COMPTEL has been involved in the workshops , meetings and filed comments on the issues of greatest importance to the competitive sector of our industry .",neutral,stakeholder comptel involve workshop meeting file comment issue great importance competitive sector industry,74.5496597290039,neutral,0.9998922348022461,Silicon Valley's impact on global technology development
"Stockholm , 3 March 2011 About Cybercom The Cybercom Group is a high-tech consultancy that offers global sourcing for end-to-end solutions .",neutral,stockholm march cybercom cybercom group high tech consultancy offer global source end end solution,77.3848648071289,neutral,0.9998944997787476,Silicon Valley's impact on global technology development
The GeoSolutions team further provides an intriguing new technology combining GPS and Mobile-based technologies together with Internet-based social networking .,neutral,geosolutions team provide intrigue new technology combine gps mobile base technology together internet base social networking,125.13037109375,positive,0.9880556464195251,Positive solutions in renewable energy
FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,positive,financing aspocomp growth aspocomp aggressively pursue growth strategy increasingly focus technologically demand hdi print circuit board pcbs,126.902587890625,positive,0.9930659532546997,Positive solutions in renewable energy
"W+�rtsil+� 's solution has been selected for its low fuel consumption , environmentally sound technology , and global service support .",positive,w rtsil solution select low fuel consumption environmentally sound technology global service support,127.78414154052734,positive,0.8724457621574402,Positive solutions in renewable energy
Aspocomp has a large factory in China and a factory building project in India that was halted due to financing problems .,negative,aspocomp large factory china factory building project india halt due financing problem,103.5943603515625,negative,0.9667873382568359,Negative controversies in the automotive industry
In February the Elcoteq group sold its St Petersburg facility ; according to unconfirmed information the reason could have been supply problems because of the Russian customs service .,negative,february elcoteq group sell st petersburg facility accord unconfirmed information reason could supply problem russian custom service,111.88224792480469,negative,0.9363003373146057,Negative controversies in the automotive industry
"According to Laavainen , Raisio 's food marketing used to be reactive and inconsistent .",negative,accord laavainen raisio food marketing use reactive inconsistent,111.89714813232422,negative,0.9452285766601562,Negative controversies in the automotive industry
"All the ferries had run into trouble just outside the Stockholm archipelago , made up of more than 20,000 islands .",negative,ferry run trouble outside stockholm archipelago make island,109.39617919921875,negative,0.7943265438079834,Political tensions in Asia-Pacific region
"Vanhanen said the strike would be `` extremely damaging '' as some 1,300 participants and reporters begin to arrive in Finland for the one-day EU summit with Russian President Vladimir Putin in Lahti , about 100 kilometers ( 60 miles ) north of Helsinki .",negative,vanhanen say strike would extremely damage participant reporter begin arrive finland one day eu summit russian president vladimir putin lahti kilometer mile north helsinki,112.22062683105469,negative,0.9853727221488953,Political tensions in Asia-Pacific region
"Approximately SEK 166 million in repayments has been demanded for overcharging in the Stockholm area , with the remaining SEK 87 million taken from the Western coast , the inspectorate said .",neutral,approximately sek million repayment demand overcharge stockholm area remain sek million take western coast inspectorate say,114.92131805419922,neutral,0.6203639507293701,Political tensions in Asia-Pacific region
Technical indicators for the stock are bullish and S&P gives NOK a positive 4 STARS out of 5 buy ranking .,positive,technical indicator stock bullish p give nok positive star buy rank,81.54167938232422,positive,0.999556839466095,Positive news in the stock market
"The price of raw material aluminium went up at the end of 2005 , but the company considers its outlook for 2006 favourable .",positive,price raw material aluminium go end company considers outlook favourable,86.77943420410156,positive,0.9996204376220703,Positive news in the stock market
Cash flow from operating activities is estimated to be positive .,positive,cash flow operating activity estimate positive,88.1727294921875,positive,0.9995317459106445,Positive news in the stock market
`` The issues identified by Stonesoft affect a range of content inspection technology .,neutral,issue identify stonesoft affect range content inspection technology,45.12232208251953,neutral,0.9998871088027954,Issues regarding cybersecurity threats in the financial sector
"Because the application can be considered as a hacking application , it is classified by F-Secure as riskware .",neutral,application consider hack application classify f secure riskware,52.554359436035156,neutral,0.9998834133148193,Issues regarding cybersecurity threats in the financial sector
"According to Finnair Technical Services , the measure is above all due to the employment situation .",neutral,accord finnair technical service measure due employment situation,53.459163665771484,neutral,0.9998824596405029,Issues regarding cybersecurity threats in the financial sector
Scandic Feed will also diversify Tosno 's product portfolio further .,neutral,scandic feed also diversify tosno product portfolio,102.26689147949219,positive,0.9994397759437561,Celebrity endorsements positively influence brand equity
The annual Thesis contest is aimed to enhance the thesis quality and to strengthen the thesis culture in polytechnics .,positive,annual thesis contest aim enhance thesis quality strengthen thesis culture polytechnic,108.50851440429688,positive,0.9994920492172241,Celebrity endorsements positively influence brand equity
The Court 's decision will also promote genuine competition in services,neutral,court decision also promote genuine competition service,109.15882873535156,positive,0.9993231296539307,Celebrity endorsements positively influence brand equity
